"Date","Price","Open","High","Low","Vol.","Change %"
"24-11-1994","1,022.23","1,022.23","1,022.23","1,022.23","","0.09%"
"23-11-1994","1,021.31","1,021.31","1,021.31","1,021.31","","-0.65%"
"22-11-1994","1,027.96","1,027.96","1,027.96","1,027.96","","-0.33%"
"21-11-1994","1,031.35","1,031.35","1,031.35","1,031.35","","0.57%"
"17-11-1994","1,025.48","1,025.48","1,025.48","1,025.48","","1.01%"
"16-11-1994","1,015.27","1,015.27","1,015.27","1,015.27","","0.78%"
"15-11-1994","1,007.38","1,007.38","1,007.38","1,007.38","","-0.40%"
"14-11-1994","1,011.39","1,011.39","1,011.39","1,011.39","","-1.08%"
"11-11-1994","1,022.39","1,022.39","1,022.39","1,022.39","","-0.99%"
"10-11-1994","1,032.63","1,032.63","1,032.63","1,032.63","","-0.90%"
"09-11-1994","1,042.02","1,042.02","1,042.02","1,042.02","","-1.50%"
"08-11-1994","1,057.93","1,057.93","1,057.93","1,057.93","","-0.25%"
"07-11-1994","1,060.56","1,060.56","1,060.56","1,060.56","","-0.36%"
"03-11-1994","1,064.43","1,064.43","1,064.43","1,064.43","","1.49%"
"31-10-1994","1,048.83","1,048.83","1,048.83","1,048.83","","-0.33%"
"28-10-1994","1,052.29","1,052.29","1,052.29","1,052.29","","-0.99%"
"27-10-1994","1,062.81","1,062.81","1,062.81","1,062.81","","-0.75%"
"26-10-1994","1,070.85","1,070.85","1,070.85","1,070.85","","-0.07%"
"25-10-1994","1,071.60","1,071.60","1,071.60","1,071.60","","0.42%"
"24-10-1994","1,067.10","1,067.10","1,067.10","1,067.10","","-0.06%"
"21-10-1994","1,067.70","1,067.70","1,067.70","1,067.70","","0.10%"
"20-10-1994","1,066.59","1,066.59","1,066.59","1,066.59","","-0.42%"
"19-10-1994","1,071.08","1,071.08","1,071.08","1,071.08","","-0.42%"
"18-10-1994","1,075.61","1,075.61","1,075.61","1,075.61","","-0.43%"
"17-10-1994","1,080.25","1,080.25","1,080.25","1,080.25","","-0.05%"
"14-10-1994","1,080.79","1,080.79","1,080.79","1,080.79","","0.26%"
"12-10-1994","1,077.98","1,077.98","1,077.98","1,077.98","","-0.56%"
"11-10-1994","1,084.06","1,084.06","1,084.06","1,084.06","","-0.02%"
"10-10-1994","1,084.32","1,084.32","1,084.32","1,084.32","","-0.32%"
"07-10-1994","1,087.83","1,087.83","1,087.83","1,087.83","","1.14%"
"06-10-1994","1,075.53","1,075.53","1,075.53","1,075.53","","0.32%"
"05-10-1994","1,072.15","1,072.15","1,072.15","1,072.15","","-0.20%"
"04-10-1994","1,074.28","1,074.28","1,074.28","1,074.28","","0.49%"
"03-10-1994","1,069.05","1,069.05","1,069.05","1,069.05","","0.25%"
"30-09-1994","1,066.42","1,066.42","1,066.42","1,066.42","","-2.00%"
"29-09-1994","1,088.21","1,088.21","1,088.21","1,088.21","","-0.51%"
"28-09-1994","1,093.78","1,093.78","1,093.78","1,093.78","","-0.79%"
"27-09-1994","1,102.51","1,102.51","1,102.51","1,102.51","","-0.86%"
"23-09-1994","1,112.03","1,112.03","1,112.03","1,112.03","","0.76%"
"22-09-1994","1,103.65","1,103.65","1,103.65","1,103.65","","-0.60%"
"21-09-1994","1,110.29","1,110.29","1,110.29","1,110.29","","-0.69%"
"20-09-1994","1,117.95","1,117.95","1,117.95","1,117.95","","-1.35%"
"19-09-1994","1,133.30","1,133.30","1,133.30","1,133.30","","-0.84%"
"16-09-1994","1,142.89","1,142.89","1,142.89","1,142.89","","0.16%"
"15-09-1994","1,141.06","1,141.06","1,141.06","1,141.06","","-0.35%"
"14-09-1994","1,145.08","1,145.08","1,145.08","1,145.08","","-0.19%"
"13-09-1994","1,147.28","1,147.28","1,147.28","1,147.28","","-0.23%"
"12-09-1994","1,149.91","1,149.91","1,149.91","1,149.91","","1.19%"
"08-09-1994","1,136.34","1,136.34","1,136.34","1,136.34","","-0.02%"
"07-09-1994","1,136.56","1,136.56","1,136.56","1,136.56","","0.20%"
"06-09-1994","1,134.32","1,134.32","1,134.32","1,134.32","","0.14%"
"05-09-1994","1,132.73","1,132.73","1,132.73","1,132.73","","-0.72%"
"02-09-1994","1,140.99","1,140.99","1,140.99","1,140.99","","-0.32%"
"01-09-1994","1,144.66","1,144.66","1,144.66","1,144.66","","-0.47%"
"31-08-1994","1,150.01","1,150.01","1,150.01","1,150.01","","1.30%"
"29-08-1994","1,135.24","1,135.24","1,135.24","1,135.24","","2.06%"
"25-08-1994","1,112.30","1,112.30","1,112.30","1,112.30","","-0.31%"
"24-08-1994","1,115.78","1,115.78","1,115.78","1,115.78","","-0.46%"
"19-08-1994","1,120.97","1,120.97","1,120.97","1,120.97","","-0.87%"
"18-08-1994","1,130.80","1,130.80","1,130.80","1,130.80","","-0.40%"
"17-08-1994","1,135.35","1,135.35","1,135.35","1,135.35","","-0.11%"
"16-08-1994","1,136.62","1,136.62","1,136.62","1,136.62","","1.14%"
"12-08-1994","1,123.80","1,123.80","1,123.80","1,123.80","","2.66%"
"11-08-1994","1,094.63","1,094.63","1,094.63","1,094.63","","0.31%"
"10-08-1994","1,091.26","1,091.26","1,091.26","1,091.26","","0.47%"
"09-08-1994","1,086.11","1,086.11","1,086.11","1,086.11","","0.06%"
"08-08-1994","1,085.49","1,085.49","1,085.49","1,085.49","","0.13%"
"05-08-1994","1,084.09","1,084.09","1,084.09","1,084.09","","0.39%"
"04-08-1994","1,079.93","1,079.93","1,079.93","1,079.93","","0.23%"
"03-08-1994","1,077.49","1,077.49","1,077.49","1,077.49","","-0.87%"
"02-08-1994","1,086.95","1,086.95","1,086.95","1,086.95","","0.11%"
"01-08-1994","1,085.72","1,085.72","1,085.72","1,085.72","","2.25%"
"29-07-1994","1,061.83","1,061.83","1,061.83","1,061.83","","1.43%"
"28-07-1994","1,046.83","1,046.83","1,046.83","1,046.83","","0.17%"
"27-07-1994","1,045.06","1,045.06","1,045.06","1,045.06","","-0.40%"
"26-07-1994","1,049.25","1,049.25","1,049.25","1,049.25","","-0.02%"
"25-07-1994","1,049.50","1,049.50","1,049.50","1,049.50","","0.15%"
"22-07-1994","1,047.89","1,047.89","1,047.89","1,047.89","","0.48%"
"21-07-1994","1,042.90","1,042.90","1,042.90","1,042.90","","-0.24%"
"20-07-1994","1,045.46","1,045.46","1,045.46","1,045.46","","-0.45%"
"19-07-1994","1,050.22","1,050.22","1,050.22","1,050.22","","-0.10%"
